"area_code","area_name","date","new_cases","total_cases"
"E09000016","Havering",2020-03-07,0,2
"E09000017","Hillingdon",2020-03-07,0,4
"E09000018","Hounslow",2020-03-07,0,4
"E09000019","Islington",2020-03-07,0,1
"E09000020","Kensington and Chelsea",2020-03-07,1,17
"E09000021","Kingston upon Thames",2020-03-07,0,1
"E09000022","Lambeth",2020-03-07,2,5
"E09000023","Lewisham",2020-03-07,1,3
"E09000024","Merton",2020-03-07,0,3
"E09000025","Newham",2020-03-07,0,0
"E09000026","Redbridge",2020-03-07,0,2
"E09000027","Richmond upon Thames",2020-03-07,0,2
"E09000028","Southwark",2020-03-07,1,9
"E09000029","Sutton",2020-03-07,1,3
"E09000030","Tower Hamlets",2020-03-07,1,5
"E09000031","Waltham Forest",2020-03-07,0,2
"E09000032","Wandsworth",2020-03-07,0,3
"E09000033","Westminster",2020-03-07,2,11
"E09000001","City of London",2020-03-08,0,0
"E09000002","Barking and Dagenham",2020-03-08,1,2
"E09000003","Barnet",2020-03-08,1,9
"E09000004","Bexley",2020-03-08,0,0
"E09000005","Brent",2020-03-08,1,3
"E09000006","Bromley",2020-03-08,1,2
"E09000007","Camden",2020-03-08,2,6
"E09000008","Croydon",2020-03-08,0,1
"E09000009","Ealing",2020-03-08,1,8
"E09000010","Enfield",2020-03-08,1,3
"E09000011","Greenwich",2020-03-08,0,1
"E09000012","Hackney",2020-03-08,1,3
"E09000013","Hammersmith and Fulham",2020-03-08,0,3
"E09000014","Haringey",2020-03-08,1,1
"E09000015","Harrow",2020-03-08,0,1
"E09000016","Havering",2020-03-08,0,2
"E09000017","Hillingdon",2020-03-08,2,6
"E09000018","Hounslow",2020-03-08,0,4
"E09000019","Islington",2020-03-08,1,2
"E09000020","Kensington and Chelsea",2020-03-08,2,19
"E09000021","Kingston upon Thames",2020-03-08,1,2
"E09000022","Lambeth",2020-03-08,0,5
"E09000023","Lewisham",2020-03-08,0,3
"E09000024","Merton",2020-03-08,0,3
"E09000025","Newham",2020-03-08,0,0
"E09000026","Redbridge",2020-03-08,0,2
"E09000027","Richmond upon Thames",2020-03-08,0,2
"E09000028","Southwark",2020-03-08,2,11
"E09000029","Sutton",2020-03-08,0,3
"E09000030","Tower Hamlets",2020-03-08,1,6
"E09000031","Waltham Forest",2020-03-08,0,2
"E09000032","Wandsworth",2020-03-08,2,5
"E09000033","Westminster",2020-03-08,1,12
"E09000001","City of London",2020-03-09,0,0
"E09000002","Barking and Dagenham",2020-03-09,1,3
"E09000003","Barnet",2020-03-09,3,12
"E09000004","Bexley",2020-03-09,2,2
"E09000005","Brent",2020-03-09,3,6
"E09000006","Bromley",2020-03-09,1,3
"E09000007","Camden",2020-03-09,1,7
"E09000008","Croydon",2020-03-09,1,2
"E09000009","Ealing",2020-03-09,0,8
"E09000010","Enfield",2020-03-09,1,4
"E09000011","Greenwich",2020-03-09,0,1
"E09000012","Hackney",2020-03-09,2,5
"E09000013","Hammersmith and Fulham",2020-03-09,3,6
"E09000014","Haringey",2020-03-09,2,3
"E09000015","Harrow",2020-03-09,5,6
"E09000016","Havering",2020-03-09,1,3
"E09000017","Hillingdon",2020-03-09,0,6
"E09000018","Hounslow",2020-03-09,0,4
"E09000019","Islington",2020-03-09,0,2
"E09000020","Kensington and Chelsea",2020-03-09,4,23
"E09000021","Kingston upon Thames",2020-03-09,0,2
"E09000022","Lambeth",2020-03-09,2,7
"E09000023","Lewisham",2020-03-09,0,3
"E09000024","Merton",2020-03-09,1,4
"E09000025","Newham",2020-03-09,1,1
"E09000026","Redbridge",2020-03-09,0,2
"E09000027","Richmond upon Thames",2020-03-09,0,2
"E09000028","Southwark",2020-03-09,7,18
"E09000029","Sutton",2020-03-09,1,4
"E09000030","Tower Hamlets",2020-03-09,2,8
"E09000031","Waltham Forest",2020-03-09,1,3
"E09000032","Wandsworth",2020-03-09,2,7
"E09000033","Westminster",2020-03-09,6,18
"E09000001","City of London",2020-03-10,0,0
"E09000002","Barking and Dagenham",2020-03-10,0,3
"E09000003","Barnet",2020-03-10,3,15
"E09000004","Bexley",2020-03-10,2,4
"E09000005","Brent",2020-03-10,4,10
"E09000006","Bromley",2020-03-10,2,5
"E09000007","Camden",2020-03-10,2,9
"E09000008","Croydon",2020-03-10,0,2
"E09000009","Ealing",2020-03-10,5,13
