"area_code","area_name","date","new_cases","total_cases"
"E09000001","City of London",2020-01-30,0,0
"E09000002","Barking and Dagenham",2020-01-30,0,0
"E09000003","Barnet",2020-01-30,0,0
"E09000004","Bexley",2020-01-30,0,0
"E09000005","Brent",2020-01-30,0,0
"E09000006","Bromley",2020-01-30,0,0
"E09000007","Camden",2020-01-30,0,0
"E09000008","Croydon",2020-01-30,0,0
"E09000009","Ealing",2020-01-30,0,0
"E09000010","Enfield",2020-01-30,0,0
"E09000011","Greenwich",2020-01-30,0,0
"E09000012","Hackney",2020-01-30,0,0
"E09000013","Hammersmith and Fulham",2020-01-30,0,0
"E09000014","Haringey",2020-01-30,0,0
"E09000015","Harrow",2020-01-30,0,0
